model_id,lower,upper,cases,mean_score,top1_accuracy
current_local_first_cascade,0.0,0.25,0,,
current_local_first_cascade,0.25,0.5,0,,
current_local_first_cascade,0.5,0.75,2659,0.601173,0.32343
current_local_first_cascade,0.75,1.0,9576,0.963383,0.941103
external_authoritative_abstain,0.0,0.25,0,,
external_authoritative_abstain,0.25,0.5,45,0.3389,0.0
external_authoritative_abstain,0.5,0.75,2871,0.552767,0.344479
external_authoritative_abstain,0.75,1.0,9272,0.997372,0.942947
external_then_heuristic,0.0,0.25,0,,
external_then_heuristic,0.25,0.5,45,0.3389,0.0
external_then_heuristic,0.5,0.75,2918,0.552723,0.35024
external_then_heuristic,0.75,1.0,9272,0.997372,0.942947
heuristic_only,0.0,0.25,0,,
heuristic_only,0.25,0.5,0,,
heuristic_only,0.5,0.75,12235,0.55,0.208092
heuristic_only,0.75,1.0,0,,
local_shadow_only,0.0,0.25,0,,
local_shadow_only,0.25,0.5,0,,
local_shadow_only,0.5,0.75,2612,0.602094,0.316616
local_shadow_only,0.75,1.0,9546,0.963651,0.941127
