model_id,context_length,cases
current_local_first_cascade,0,47
current_local_first_cascade,1,3551
current_local_first_cascade,2,2702
current_local_first_cascade,3,5935
external_authoritative_abstain,0,47
external_authoritative_abstain,1,3358
external_authoritative_abstain,2,2853
external_authoritative_abstain,3,5977
external_then_heuristic,0,47
external_then_heuristic,1,3358
external_then_heuristic,2,2853
external_then_heuristic,3,5977
heuristic_only,0,12235
local_shadow_only,0,77
local_shadow_only,1,3524
local_shadow_only,2,2699
local_shadow_only,3,5935
