model_id,tactic,support,reportable,top1_accuracy,normalized_multiclass_brier_score,mean_reciprocal_rank
current_local_first_cascade,command-and-control,46,True,0.0,0.842411,0.0
current_local_first_cascade,credential-access,2,False,,,
current_local_first_cascade,defense-evasion,235,True,0.765957,0.259363,0.789362
current_local_first_cascade,discovery,6854,True,0.998979,0.005805,0.998979
current_local_first_cascade,execution,2845,True,0.995079,0.048852,0.995079
current_local_first_cascade,persistence,1790,True,0.007821,0.370457,0.496369
current_local_first_cascade,privilege-escalation,463,True,0.0,0.796834,0.482721
external_authoritative_abstain,command-and-control,46,True,0.0,0.526281,0.387681
external_authoritative_abstain,credential-access,2,False,,,
external_authoritative_abstain,defense-evasion,235,True,0.765957,0.157986,0.785106
external_authoritative_abstain,discovery,6854,True,0.998833,0.000957,0.998906
external_authoritative_abstain,execution,2845,True,0.951142,0.079241,0.972935
external_authoritative_abstain,persistence,1790,True,0.0,0.320364,0.481145
external_authoritative_abstain,privilege-escalation,463,True,0.0,0.992347,0.0
external_then_heuristic,command-and-control,46,True,0.0,0.530792,0.387681
external_then_heuristic,credential-access,2,False,,,
external_then_heuristic,defense-evasion,235,True,0.906383,0.10989,0.925532
external_then_heuristic,discovery,6854,True,0.998833,0.000957,0.998906
external_then_heuristic,execution,2845,True,0.951142,0.080189,0.972935
external_then_heuristic,persistence,1790,True,0.0,0.320364,0.481145
external_then_heuristic,privilege-escalation,463,True,0.0,0.992347,0.0
heuristic_only,command-and-control,46,True,0.0,0.661848,0.076087
heuristic_only,credential-access,2,False,,,
heuristic_only,defense-evasion,235,True,0.140426,0.666559,0.140426
heuristic_only,discovery,6854,True,0.366355,0.506005,0.366355
heuristic_only,execution,2845,True,0.0,0.7075,0.0
heuristic_only,persistence,1790,True,0.0,0.7075,0.0
heuristic_only,privilege-escalation,463,True,0.0,0.7075,0.0
local_shadow_only,command-and-control,46,True,0.0,0.8379,0.0
local_shadow_only,credential-access,2,False,,,
local_shadow_only,defense-evasion,235,True,0.506383,0.364924,0.529787
local_shadow_only,discovery,6854,True,0.998979,0.005659,0.998979
local_shadow_only,execution,2845,True,0.995079,0.047904,0.995079
local_shadow_only,persistence,1790,True,0.007821,0.370457,0.496369
local_shadow_only,privilege-escalation,463,True,0.0,0.796834,0.482721
