model_id,lower,upper,cases,mean_score,top1_accuracy
current_local_first_cascade,0.0,0.25,0,,
current_local_first_cascade,0.25,0.5,0,,
current_local_first_cascade,0.5,0.75,2622,0.602368,0.319222
current_local_first_cascade,0.75,1.0,9613,0.963299,0.941538
external_authoritative_abstain,0.0,0.25,0,,
external_authoritative_abstain,0.25,0.5,67,0.476725,0.373134
external_authoritative_abstain,0.5,0.75,5701,0.623735,0.610595
external_authoritative_abstain,0.75,1.0,6467,0.993569,0.97294
external_then_heuristic,0.0,0.25,0,,
external_then_heuristic,0.25,0.5,67,0.476725,0.373134
external_then_heuristic,0.5,0.75,5701,0.623735,0.610595
external_then_heuristic,0.75,1.0,6467,0.993569,0.97294
heuristic_only,0.0,0.25,0,,
heuristic_only,0.25,0.5,0,,
heuristic_only,0.5,0.75,12235,0.55,0.208092
heuristic_only,0.75,1.0,0,,
local_shadow_only,0.0,0.25,0,,
local_shadow_only,0.25,0.5,0,,
local_shadow_only,0.5,0.75,2612,0.602094,0.316616
local_shadow_only,0.75,1.0,9546,0.963651,0.941127
