model_id,actual,predicted,cases
current_local_first_cascade,command-and-control,command-and-control,1
current_local_first_cascade,command-and-control,defense-evasion,1
current_local_first_cascade,command-and-control,discovery,9
current_local_first_cascade,command-and-control,execution,35
current_local_first_cascade,credential-access,execution,2
current_local_first_cascade,defense-evasion,defense-evasion,180
current_local_first_cascade,defense-evasion,discovery,50
current_local_first_cascade,defense-evasion,execution,4
current_local_first_cascade,defense-evasion,persistence,1
current_local_first_cascade,discovery,discovery,6849
current_local_first_cascade,discovery,execution,5
current_local_first_cascade,execution,discovery,1
current_local_first_cascade,execution,execution,2844
current_local_first_cascade,persistence,defense-evasion,22
current_local_first_cascade,persistence,discovery,27
current_local_first_cascade,persistence,execution,1727
current_local_first_cascade,persistence,persistence,14
current_local_first_cascade,privilege-escalation,discovery,455
current_local_first_cascade,privilege-escalation,execution,8
external_authoritative_abstain,command-and-control,command-and-control,4
external_authoritative_abstain,command-and-control,discovery,7
external_authoritative_abstain,command-and-control,execution,7
external_authoritative_abstain,command-and-control,persistence,28
external_authoritative_abstain,credential-access,execution,2
external_authoritative_abstain,defense-evasion,defense-evasion,165
external_authoritative_abstain,defense-evasion,discovery,18
external_authoritative_abstain,defense-evasion,persistence,52
external_authoritative_abstain,discovery,defense-evasion,8
external_authoritative_abstain,discovery,discovery,6846
external_authoritative_abstain,execution,defense-evasion,1
external_authoritative_abstain,execution,discovery,141
external_authoritative_abstain,execution,execution,2702
external_authoritative_abstain,execution,persistence,1
external_authoritative_abstain,persistence,execution,1718
external_authoritative_abstain,persistence,persistence,72
external_authoritative_abstain,privilege-escalation,discovery,451
external_authoritative_abstain,privilege-escalation,execution,2
external_authoritative_abstain,privilege-escalation,persistence,1
external_authoritative_abstain,privilege-escalation,privilege-escalation,9
external_then_heuristic,command-and-control,command-and-control,4
external_then_heuristic,command-and-control,discovery,7
external_then_heuristic,command-and-control,execution,7
external_then_heuristic,command-and-control,persistence,28
external_then_heuristic,credential-access,execution,2
external_then_heuristic,defense-evasion,defense-evasion,165
external_then_heuristic,defense-evasion,discovery,18
external_then_heuristic,defense-evasion,persistence,52
external_then_heuristic,discovery,defense-evasion,8
external_then_heuristic,discovery,discovery,6846
external_then_heuristic,execution,defense-evasion,1
external_then_heuristic,execution,discovery,141
external_then_heuristic,execution,execution,2702
external_then_heuristic,execution,persistence,1
external_then_heuristic,persistence,execution,1718
external_then_heuristic,persistence,persistence,72
external_then_heuristic,privilege-escalation,discovery,451
external_then_heuristic,privilege-escalation,execution,2
external_then_heuristic,privilege-escalation,persistence,1
external_then_heuristic,privilege-escalation,privilege-escalation,9
heuristic_only,command-and-control,collection,7
heuristic_only,command-and-control,credential-access,28
heuristic_only,command-and-control,defense-evasion,1
heuristic_only,command-and-control,discovery,10
heuristic_only,credential-access,credential-access,2
heuristic_only,defense-evasion,credential-access,4
heuristic_only,defense-evasion,defense-evasion,33
heuristic_only,defense-evasion,discovery,65
heuristic_only,defense-evasion,exfiltration,133
heuristic_only,discovery,collection,5
heuristic_only,discovery,defense-evasion,4336
heuristic_only,discovery,discovery,2511
heuristic_only,discovery,persistence,2
heuristic_only,execution,collection,313
heuristic_only,execution,credential-access,2518
heuristic_only,execution,defense-evasion,14
heuristic_only,persistence,credential-access,1727
heuristic_only,persistence,discovery,63
heuristic_only,privilege-escalation,collection,7
heuristic_only,privilege-escalation,credential-access,1
heuristic_only,privilege-escalation,defense-evasion,447
heuristic_only,privilege-escalation,discovery,8
local_shadow_only,command-and-control,<abstained>,1
local_shadow_only,command-and-control,defense-evasion,1
local_shadow_only,command-and-control,discovery,9
local_shadow_only,command-and-control,execution,35
local_shadow_only,credential-access,execution,2
local_shadow_only,defense-evasion,<abstained>,61
local_shadow_only,defense-evasion,defense-evasion,119
local_shadow_only,defense-evasion,discovery,50
local_shadow_only,defense-evasion,execution,4
local_shadow_only,defense-evasion,persistence,1
local_shadow_only,discovery,<abstained>,2
local_shadow_only,discovery,discovery,6847
local_shadow_only,discovery,execution,5
local_shadow_only,execution,<abstained>,13
local_shadow_only,execution,discovery,1
local_shadow_only,execution,execution,2831
local_shadow_only,persistence,defense-evasion,22
local_shadow_only,persistence,discovery,27
local_shadow_only,persistence,execution,1727
local_shadow_only,persistence,persistence,14
local_shadow_only,privilege-escalation,discovery,455
local_shadow_only,privilege-escalation,execution,8
