model_id,tactic,support,reportable,top1_accuracy,precision,recall,f1,normalized_multiclass_brier_score,mean_reciprocal_rank
current_local_first_cascade,command-and-control,46,True,0.021739,1.0,0.021739,0.042553,0.827031,0.021739
current_local_first_cascade,credential-access,2,False,,,,,,
current_local_first_cascade,defense-evasion,235,True,0.765957,0.8867,0.765957,0.821918,0.238255,0.789362
current_local_first_cascade,discovery,6854,True,0.99927,0.926668,0.99927,0.961601,0.005513,0.99927
current_local_first_cascade,execution,2845,True,0.999649,0.614919,0.999649,0.761446,0.045886,0.999649
current_local_first_cascade,impact,0,False,,,,,,
current_local_first_cascade,persistence,1790,True,0.007821,0.933333,0.007821,0.015512,0.370457,0.496369
current_local_first_cascade,privilege-escalation,463,True,0.0,,0.0,,0.796834,0.482721
external_authoritative_abstain,command-and-control,46,True,0.086957,1.0,0.086957,0.16,0.768602,0.086957
external_authoritative_abstain,credential-access,2,False,,,,,,
external_authoritative_abstain,defense-evasion,235,True,0.702128,0.948276,0.702128,0.806846,0.159255,0.829787
external_authoritative_abstain,discovery,6854,True,0.998833,0.917325,0.998833,0.956346,0.040141,0.999416
external_authoritative_abstain,execution,2845,True,0.949736,0.609795,0.949736,0.742716,0.088575,0.974692
external_authoritative_abstain,impact,0,False,,,,,,
external_authoritative_abstain,persistence,1790,True,0.040223,0.467532,0.040223,0.074074,0.3366,0.520112
external_authoritative_abstain,privilege-escalation,463,True,0.019438,1.0,0.019438,0.038136,0.715184,0.347012
external_then_heuristic,command-and-control,46,True,0.086957,1.0,0.086957,0.16,0.768602,0.086957
external_then_heuristic,credential-access,2,False,,,,,,
external_then_heuristic,defense-evasion,235,True,0.702128,0.948276,0.702128,0.806846,0.159255,0.829787
external_then_heuristic,discovery,6854,True,0.998833,0.917325,0.998833,0.956346,0.040141,0.999416
external_then_heuristic,execution,2845,True,0.949736,0.609795,0.949736,0.742716,0.088575,0.974692
external_then_heuristic,impact,0,False,,,,,,
external_then_heuristic,persistence,1790,True,0.040223,0.467532,0.040223,0.074074,0.3366,0.520112
external_then_heuristic,privilege-escalation,463,True,0.019438,1.0,0.019438,0.038136,0.715184,0.347012
heuristic_only,command-and-control,46,True,0.0,,0.0,,0.661848,0.076087
heuristic_only,credential-access,2,False,,,,,,
heuristic_only,defense-evasion,235,True,0.140426,0.006831,0.140426,0.013028,0.666559,0.140426
heuristic_only,discovery,6854,True,0.366355,0.945051,0.366355,0.52802,0.506005,0.366355
heuristic_only,execution,2845,True,0.0,,0.0,,0.7075,0.0
heuristic_only,impact,0,False,,,,,,
heuristic_only,persistence,1790,True,0.0,0.0,0.0,0.0,0.7075,0.0
heuristic_only,privilege-escalation,463,True,0.0,,0.0,,0.7075,0.0
local_shadow_only,command-and-control,46,True,0.0,,0.0,,0.8379,0.0
local_shadow_only,credential-access,2,False,,,,,,
local_shadow_only,defense-evasion,235,True,0.506383,0.838028,0.506383,0.6313,0.364924,0.529787
local_shadow_only,discovery,6854,True,0.998979,0.926648,0.998979,0.961455,0.005659,0.998979
local_shadow_only,execution,2845,True,0.995079,0.613833,0.995079,0.759287,0.047904,0.995079
local_shadow_only,impact,0,False,,,,,,
local_shadow_only,persistence,1790,True,0.007821,0.933333,0.007821,0.015512,0.370457,0.496369
local_shadow_only,privilege-escalation,463,True,0.0,,0.0,,0.796834,0.482721
