row_type,model_id,configuration,tactic,support,top1_accuracy,balanced_accuracy,top3_accuracy_secondary,mean_reciprocal_rank,normalized_multiclass_brier_score,coverage,abstention_rate,selective_top1_accuracy
pooled,first_order_markov,all,all,3969,0.335601,0.223798,0.962711,0.647119,0.363976,1.0,0.0,0.335601
per_tactic,first_order_markov,all,command-and-control,13,0.0,,,0.25,0.867736,,,
per_tactic,first_order_markov,all,credential-access,5,0.0,,,0.333333,0.810414,,,
per_tactic,first_order_markov,all,defense-evasion,335,0.223881,,,0.503483,0.573725,,,
per_tactic,first_order_markov,all,discovery,1994,0.397693,,,0.698847,0.209918,,,
per_tactic,first_order_markov,all,execution,980,0.0,,,0.5,0.639569,,,
per_tactic,first_order_markov,all,persistence,491,0.94501,,,0.96334,0.106976,,,
per_tactic,first_order_markov,all,privilege-escalation,151,0.0,,,0.253863,0.921925,,,
pooled,current_hard_backoff_vomm,all,all,3969,0.547745,0.337474,0.902494,0.724448,0.237167,1.0,0.0,0.547745
per_tactic,current_hard_backoff_vomm,all,command-and-control,13,0.538462,,,0.538462,0.353333,,,
per_tactic,current_hard_backoff_vomm,all,credential-access,5,0.0,,,0.0,0.761725,,,
per_tactic,current_hard_backoff_vomm,all,defense-evasion,335,0.247761,,,0.444279,0.530535,,,
per_tactic,current_hard_backoff_vomm,all,discovery,1994,0.62989,,,0.814945,0.130029,,,
per_tactic,current_hard_backoff_vomm,all,execution,980,0.812245,,,0.842347,0.208332,,,
per_tactic,current_hard_backoff_vomm,all,persistence,491,0.034623,,,0.517312,0.362041,,,
per_tactic,current_hard_backoff_vomm,all,privilege-escalation,151,0.099338,,,0.099338,0.754842,,,
pooled,external_only_vomm,all,all,3969,0.547745,0.337474,0.902494,0.724448,0.237167,1.0,0.0,0.547745
per_tactic,external_only_vomm,all,command-and-control,13,0.538462,,,0.538462,0.353333,,,
per_tactic,external_only_vomm,all,credential-access,5,0.0,,,0.0,0.761725,,,
per_tactic,external_only_vomm,all,defense-evasion,335,0.247761,,,0.444279,0.530535,,,
per_tactic,external_only_vomm,all,discovery,1994,0.62989,,,0.814945,0.130029,,,
