row_type,model_id,tactic,support,top1_accuracy,top3_accuracy,balanced_top1,mrr,normalized_brier,coverage,abstention_rate
pooled,majority_class,all,12235,0.560196,0.939027,0.142857,0.723877,0.317947,1.0,0.0
per_tactic,majority_class,command-and-control,46,0.0,,,0.166667,0.658503,,
per_tactic,majority_class,credential-access,2,0.0,,,0.142857,0.661832,,
per_tactic,majority_class,defense-evasion,235,0.0,,,0.25,0.537965,,
per_tactic,majority_class,discovery,6854,1.0,,,1.0,0.172658,,
per_tactic,majority_class,execution,2845,0.0,,,0.333333,0.507267,,
per_tactic,majority_class,impact,0,,,,,,,
per_tactic,majority_class,persistence,1790,0.0,,,0.5,0.4498,,
per_tactic,majority_class,privilege-escalation,463,0.0,,,0.2,0.64867,,
pooled,first_order_markov,all,12235,0.714753,0.995096,0.381557,0.848826,0.196685,1.0,0.0
per_tactic,first_order_markov,command-and-control,46,0.0,,,0.199275,0.814732,,
per_tactic,first_order_markov,credential-access,2,0.0,,,0.333333,0.757462,,
per_tactic,first_order_markov,defense-evasion,235,0.706383,,,0.802837,0.287337,,
per_tactic,first_order_markov,discovery,6854,0.999708,,,0.999854,0.068418,,
per_tactic,first_order_markov,execution,2845,0.0,,,0.499912,0.407462,,
per_tactic,first_order_markov,impact,0,,,,,,,
per_tactic,first_order_markov,persistence,1790,0.964804,,,0.982402,0.184593,,
per_tactic,first_order_markov,privilege-escalation,463,0.0,,,0.330742,0.737216,,
pooled,backoff_vomm,all,12235,0.836208,0.996404,0.536714,0.916183,0.097114,1.0,0.0
per_tactic,backoff_vomm,command-and-control,46,0.086957,,,0.137681,0.721552,,
per_tactic,backoff_vomm,credential-access,2,0.0,,,0.0,0.757241,,
per_tactic,backoff_vomm,defense-evasion,235,0.702128,,,0.842553,0.110107,,
per_tactic,backoff_vomm,discovery,6854,0.998103,,,0.999052,0.038592,,
per_tactic,backoff_vomm,execution,2845,0.949736,,,0.974517,0.08916,,
per_tactic,backoff_vomm,impact,0,,,,,,,
per_tactic,backoff_vomm,persistence,1790,0.035196,,,0.517598,0.338143,,
per_tactic,backoff_vomm,privilege-escalation,463,0.984881,,,0.990641,0.008994,,
pooled,configuration_aware_vomm,all,12235,0.753739,0.997385,0.393542,0.869733,0.122048,1.0,0.0
per_tactic,configuration_aware_vomm,command-and-control,46,0.065217,,,0.308696,0.771229,,
per_tactic,configuration_aware_vomm,credential-access,2,0.0,,,0.333333,0.922768,,
per_tactic,configuration_aware_vomm,defense-evasion,235,0.761702,,,0.875461,0.170201,,
per_tactic,configuration_aware_vomm,discovery,6854,0.913189,,,0.956595,0.046309,,
per_tactic,configuration_aware_vomm,execution,2845,0.949736,,,0.97481,0.071665,,
per_tactic,configuration_aware_vomm,impact,0,,,,,,,
per_tactic,configuration_aware_vomm,persistence,1790,0.036872,,,0.518343,0.308495,,
per_tactic,configuration_aware_vomm,privilege-escalation,463,0.028078,,,0.351872,0.739635,,
pooled,configuration_global_interpolated_vomm,all,12235,0.753658,0.997058,0.393234,0.86957,0.12212,1.0,0.0
per_tactic,configuration_global_interpolated_vomm,command-and-control,46,0.065217,,,0.276087,0.77184,,
per_tactic,configuration_global_interpolated_vomm,credential-access,2,0.0,,,0.333333,0.922601,,
per_tactic,configuration_global_interpolated_vomm,defense-evasion,235,0.761702,,,0.875461,0.170224,,
per_tactic,configuration_global_interpolated_vomm,discovery,6854,0.913189,,,0.956595,0.046306,,
per_tactic,configuration_global_interpolated_vomm,execution,2845,0.949736,,,0.97481,0.07174,,
per_tactic,configuration_global_interpolated_vomm,impact,0,,,,,,,
per_tactic,configuration_global_interpolated_vomm,persistence,1790,0.036872,,,0.518343,0.308473,,
per_tactic,configuration_global_interpolated_vomm,privilege-escalation,463,0.025918,,,0.350792,0.741125,,
